feature_set,model,country,year,MAPE_pct
augmented,ARIMAX,Canada,2017,6.3828
augmented,ARIMAX,Canada,2018,1.4216
augmented,ARIMAX,Canada,2019,1.7917
augmented,ARIMAX,Canada,2020,10.573
augmented,ARIMAX,Canada,2021,8.3971
augmented,ARIMAX,Canada,2022,0.696
augmented,ARIMAX,Canada,2023,0.0578
augmented,ARIMAX,Russian Federation,2017,0.5097
augmented,ARIMAX,Russian Federation,2018,0.829
augmented,ARIMAX,Russian Federation,2019,3.2079
augmented,ARIMAX,Russian Federation,2020,9.0531
augmented,ARIMAX,Russian Federation,2021,5.7001
augmented,ARIMAX,Russian Federation,2022,2.6331
augmented,ARIMAX,Russian Federation,2023,9.4918
augmented,ARIMAX,China,2017,1.2935
augmented,ARIMAX,China,2018,4.7442
augmented,ARIMAX,China,2019,5.2018
augmented,ARIMAX,China,2020,3.0504
augmented,ARIMAX,China,2021,5.9254
augmented,ARIMAX,China,2022,1.9652
augmented,ARIMAX,China,2023,1.1557
augmented,ARIMAX,United States,2017,1.4351
augmented,ARIMAX,United States,2018,1.2022
augmented,ARIMAX,United States,2019,2.688
augmented,ARIMAX,United States,2020,5.4097
augmented,ARIMAX,United States,2021,0.4369
augmented,ARIMAX,United States,2022,0.6722
augmented,ARIMAX,United States,2023,0.255
augmented,ARIMAX,India,2017,0.0142
augmented,ARIMAX,India,2018,1.0733
augmented,ARIMAX,India,2019,2.8487
augmented,ARIMAX,India,2020,0.1473
augmented,ARIMAX,India,2021,1.3765
augmented,ARIMAX,India,2022,0.9303
augmented,ARIMAX,India,2023,1.0386
augmented,ARIMAX,Indonesia,2017,0.8135
augmented,ARIMAX,Indonesia,2018,10.0568
augmented,ARIMAX,Indonesia,2019,6.4359
augmented,ARIMAX,Indonesia,2020,0.4117
augmented,ARIMAX,Indonesia,2021,0.4159
augmented,ARIMAX,Indonesia,2022,5.6032
augmented,ARIMAX,Indonesia,2023,4.4271
augmented,SVR,Canada,2017,4.7523
augmented,SVR,Canada,2018,6.5383
augmented,SVR,Canada,2019,3.9718
augmented,SVR,Canada,2020,18.5859
augmented,SVR,Canada,2021,13.9803
augmented,SVR,Canada,2022,10.7533
augmented,SVR,Canada,2023,1.7458
augmented,SVR,Russian Federation,2017,2.0718
augmented,SVR,Russian Federation,2018,1.5717
augmented,SVR,Russian Federation,2019,2.274
augmented,SVR,Russian Federation,2020,2.2813
augmented,SVR,Russian Federation,2021,5.0807
augmented,SVR,Russian Federation,2022,0.2478
augmented,SVR,Russian Federation,2023,3.5808
augmented,SVR,China,2017,2.0383
augmented,SVR,China,2018,1.7584
augmented,SVR,China,2019,0.4991
augmented,SVR,China,2020,0.3743
augmented,SVR,China,2021,1.242
augmented,SVR,China,2022,5.3094
augmented,SVR,China,2023,0.3929
