model,param,augmented,baseline
ARIMAX,d,0.03750559937073572,0.012951397807631992
ARIMAX,p,0.03271242469483551,0.026391132837148196
ARIMAX,q,0.05252485785807237,0.026058082051057085
ARIMAX,trend,0.073061380296495,0.010736751478738094
LSTCN,alpha,0.10146541622662503,0.11721061800111063
LSTCN,n_blocks,0.0710709619055489,0.038387973674891884
LSTCN,solver,6.996498127798123e-07,0.009763513216167946
SVR,C,0.09975604335684804,0.08317313896069384
SVR,epsilon,0.08189572043746379,0.0850457143349615
SVR,gamma,0.0521373683715268,0.0362956512550176
SVR,kernel,0.04747545365969355,0.03763082684903135
XGBoost,colsample_bytree,0.0005275394614533968,0.00452530294593631
XGBoost,learning_rate,0.13586996174518334,0.13793632121440408
XGBoost,min_child_weight,0.011749992387052655,0.01661675583896538
XGBoost,n_estimators,0.07136470963799979,0.07090476639973839
XGBoost,reg_alpha,0.1419103685414995,0.14166587367227834
XGBoost,reg_lambda,0.07745441418501003,0.07940653968313338
XGBoost,subsample,0.014699917676269436,0.018670617859621902
