model,feature_set,country,fold,fold_train_MAE,fold_val_MAE,fold_val_RMSE,fold_val_MAPE
LSTCN,baseline,Canada,0,0.22284170793947825,0.11928178865104093,0.1489284960547853,7.853435570253465
LSTCN,baseline,Canada,1,0.3702722528328802,0.18660779930591198,0.20745454200782698,0.6359506158519461
LSTCN,baseline,Canada,2,0.61129252225415,0.14037250862529438,0.15611839400044936,0.2569813984053733
LSTCN,baseline,Canada,3,0.5938645148039942,0.13359015660557777,0.15093756043491513,0.4570484012067547
LSTCN,baseline,Canada,4,0.6376799812800805,0.03231393624806907,0.03491260722758671,0.060025025458518656
LSTCN,baseline,Russian Federation,1,0.28627518458945567,0.07901170753573261,0.10262623820233775,0.1510327967519013
LSTCN,baseline,Russian Federation,2,0.22592641168137007,0.04696468774309043,0.06495715050603339,0.11989792806602759
LSTCN,baseline,Russian Federation,3,0.22200739630705268,0.24439934902477162,0.28031473250744104,0.7843556862584439
LSTCN,baseline,Russian Federation,4,0.1872646382736797,0.08372186895422025,0.09595745856256793,0.17429525258083484
LSTCN,baseline,China,0,0.012257640117161425,0.022817426588438994,0.03066702913419831,0.03168287885156755
LSTCN,baseline,China,1,0.01393908491718655,0.026077535815154124,0.033058838281168575,0.05534584399366205
LSTCN,baseline,China,2,0.014532364075098095,0.0352409521325065,0.04356994427319202,0.779318856143304
LSTCN,baseline,China,3,0.014792681972708928,0.10552876453523377,0.11474606097567375,0.46769246467875436
LSTCN,baseline,China,4,0.02607354956333102,0.040258230202660714,0.046090247555925015,0.07739716434431487
LSTCN,baseline,United States,0,0.14059963256706579,0.18883486791673607,0.2094916559598262,0.26911847270707245
LSTCN,baseline,United States,1,0.33848100139639736,0.11367230469652448,0.14892971443094444,0.14458761788904856
LSTCN,baseline,United States,2,0.18445214246641148,0.09937800210336797,0.12635613999745057,0.1457248518395535
LSTCN,baseline,United States,3,0.32916548243308186,0.23083516875484072,0.24416826223199603,1.8360478503766662
LSTCN,baseline,United States,4,0.3524646133860876,0.10275847757689391,0.1298941348644229,1.5297068139358898
LSTCN,baseline,India,0,0.008924512355055111,0.02147116716271591,0.02397967113128042,0.03345202849602901
LSTCN,baseline,India,1,0.010666936955473582,0.031476795164433385,0.035594211522287804,0.05801092761016056
LSTCN,baseline,India,2,0.013865470096241376,0.013361233442511264,0.016216751826251923,0.04088953861086098
LSTCN,baseline,India,3,0.012892118194712242,0.08362229457410886,0.09703996602564255,1.1897122822466921
LSTCN,baseline,India,4,0.020254353321005364,0.0340606371141099,0.052176735202851314,0.10531651472301347
LSTCN,baseline,Indonesia,0,0.12334574506490008,0.045178398592731456,0.05055886254400589,0.08584816610291636
