model,feature_set,country,fold,fold_train_MAE,fold_val_MAE,fold_val_RMSE,fold_val_MAPE
SVR,baseline,Canada,0,0.01595242906467657,0.036156533111488545,0.041326875418352234,1.440279584883331
SVR,baseline,Canada,1,0.013662400702504018,0.10177941182784217,0.10268816885324612,0.45007608808140404
SVR,baseline,Canada,2,0.012167422117355093,0.14012331285878912,0.21137604672827748,0.2408207286997417
SVR,baseline,Canada,3,0.012058540199088183,0.07751165824843738,0.11524141164378948,0.33906095539808295
SVR,baseline,Canada,4,0.011202696490631579,0.03834280245781929,0.04524470951190659,0.0716101198565863
SVR,baseline,Russian Federation,0,0.14886518790492126,0.17676241370680368,0.2802372402351248,0.202878478074778
SVR,baseline,Russian Federation,1,0.11455193501687516,0.04978972273460516,0.060385552945774,0.09282616012292853
SVR,baseline,Russian Federation,2,0.0946251004684844,0.05378980529103758,0.06766504856070805,0.1290192518818737
SVR,baseline,Russian Federation,3,0.08501679572084984,0.16412583113188595,0.212141947346243,0.42478342619678416
SVR,baseline,Russian Federation,4,0.12273045949540587,0.10196137189056428,0.10960538419868221,0.2148300223793197
SVR,baseline,China,0,0.0010484223148351142,0.007785445640312527,0.00895510744234635,0.010663257397639365
SVR,baseline,China,1,0.0018639569849667748,0.01192743432362195,0.013897868547437726,0.022828947308589274
SVR,baseline,China,2,0.0026190237305682824,0.02988874746064666,0.03326312007110112,2.3002601193351095
SVR,baseline,China,3,0.005140750437908823,0.03206752510531552,0.03433308430896102,0.20108729729922287
SVR,baseline,China,4,0.007267597387810545,0.03717275510939774,0.04444079168377089,0.071624407747265
SVR,baseline,United States,0,0.04492118109151141,0.16931748922704515,0.22508252587417898,0.2472360112604543
SVR,baseline,United States,1,0.06403657618833229,0.09339268912674542,0.10773585157574365,0.12677105691132104
SVR,baseline,United States,2,0.06782621440577503,0.05367264999434068,0.06330351743482521,0.07779004883436656
SVR,baseline,United States,3,0.06447942068078406,0.22015517373931653,0.24559927284886937,1.755439299645254
SVR,baseline,United States,4,0.06575457357972037,0.09743229673371015,0.11786422565464383,2.0026922733091554
SVR,baseline,India,0,0.001068909339509853,0.011524942549129502,0.015461051645914527,0.017373341686079458
SVR,baseline,India,1,0.0027258067602186744,0.009019829774254334,0.014741075853094766,0.017336769470790256
SVR,baseline,India,2,0.003396375547886719,0.02045521525502575,0.029864590691399275,0.07648937270232357
SVR,baseline,India,3,0.0045842730467159564,0.030752055861701492,0.04786700020023518,0.3067627319000843
SVR,baseline,India,4,0.007326781948502879,0.049468969120052414,0.050804701138109955,0.17697748033049374
SVR,baseline,Indonesia,0,0.0015694474567442922,0.03087612122135966,0.032235068222468535,0.054949266672095945
SVR,baseline,Indonesia,1,0.003055280924565751,0.02609473122011581,0.037885014769680515,0.06685922918464532
SVR,baseline,Indonesia,2,0.008286398469443247,0.02414444214343195,0.027411049337116262,0.09749761998050477
SVR,baseline,Indonesia,3,0.008238596135071429,0.06412144951486666,0.07728003097027285,0.7315702383350928
SVR,baseline,Indonesia,4,0.00801075063256783,0.03719428542817621,0.056841691931213655,6.920285372679163
SVR,augmented,Canada,0,0.009958619800472903,0.11945612292880775,0.15000520975411488,17.262400732917733
SVR,augmented,Canada,1,0.010077713857442886,0.15757674224364857,0.18074937216646025,0.6487515020277534
SVR,augmented,Canada,2,0.00971601941312188,0.21416882499940015,0.2546937666855908,0.3972220747978587
SVR,augmented,Canada,3,0.009749327227475244,0.027787147654743584,0.033428730661454985,0.08649760597011158
SVR,augmented,Canada,4,0.009726272772606823,0.026083062648567967,0.026747723157105083,0.049148876688332184
SVR,augmented,Russian Federation,0,0.15392971490289692,0.2319257137088742,0.3296374995150246,0.26356079040431085
SVR,augmented,Russian Federation,1,0.10375313121245866,0.049037822300317696,0.05069787240101002,0.08329000043289739
SVR,augmented,Russian Federation,2,0.08691765154718453,0.03756131613380184,0.05050722764126659,0.09024423112880547
SVR,augmented,Russian Federation,3,0.07530439615580035,0.1819466692116006,0.21951268031580531,0.4892737103556753
SVR,augmented,Russian Federation,4,0.11337384814282858,0.08576054053674936,0.09184630166842508,0.1812033397893439
SVR,augmented,China,0,0.001234640561936155,0.015903046753472982,0.022175617994143835,0.02162006340843254
SVR,augmented,China,1,0.0016352164491824084,0.018123701880140147,0.021051672476956697,0.03677027112813154
SVR,augmented,China,2,0.0022998533558523182,0.04842617317404735,0.052484824930088325,1.6567516417957744
SVR,augmented,China,3,0.0055826292080237774,0.04682751330403608,0.04928724146386562,0.26390078189988475
SVR,augmented,China,4,0.007557409293422019,0.04543886106131195,0.05796013846128083,0.08840052033268905
SVR,augmented,United States,0,0.0101601462539511,0.13781424470424164,0.15446047368298824,0.20152128861779028
SVR,augmented,United States,1,0.009665078990323022,0.11194218907486286,0.15959581524444963,0.16337305023649792
SVR,augmented,United States,2,0.02275373912753076,0.1411717658536663,0.16091948630789815,0.17888102981223403
SVR,augmented,United States,3,0.03798761769576622,0.20011952083252682,0.3036505136072378,0.8047393915077007
SVR,augmented,United States,4,0.04951894717800793,0.12750306861267163,0.1517066226254212,1.4185250663963742
SVR,augmented,India,0,0.000994911373540186,0.03375400983381116,0.044320840630490674,0.048188929897709634
SVR,augmented,India,1,0.0012859556847689135,0.008915458203792664,0.01005551275717426,0.015499776702660938
SVR,augmented,India,2,0.0014147682433090264,0.021000477196298162,0.02500903896505555,0.06935035637196763
SVR,augmented,India,3,0.002554937406529003,0.03861177725979244,0.05726368594566185,0.35540542532171304
SVR,augmented,India,4,0.006278057650665621,0.0431294391766146,0.04535665600715797,0.15674582622781633
SVR,augmented,Indonesia,0,0.0032626499247035237,0.03634283673080935,0.04211455814699977,0.06513586574574749
SVR,augmented,Indonesia,1,0.004497976279255722,0.02428494334889575,0.03149016086474945,0.06383435678886912
SVR,augmented,Indonesia,2,0.008006043943446577,0.033047664376284175,0.03685531957157705,0.13887157753216364
SVR,augmented,Indonesia,3,0.008971467915321454,0.05141937151631535,0.05921970744918483,0.5568287209676008
SVR,augmented,Indonesia,4,0.012803883727851528,0.04105019628209794,0.05664303338093513,6.601733358154614
