country,feature_set,rank,feature,mean_abs_shap
Canada,augmented,1,Population,0.1881091118965567
Canada,augmented,2,CO2_emissions_lag1,0.1123272129691941
Canada,augmented,3,Electric power consumption,0.0990252992662344
Canada,augmented,4,Renewable energy consumption,0.0883334264571565
Canada,augmented,5,Fertilizer consumption,0.0782975231462652
Canada,augmented,6,GDP,0.0432817296531055
Canada,augmented,7,Number of hot days,0.0247548551154386
Canada,augmented,8,Temperature annual mean,0.0219872216728595
Canada,augmented,9,Fossil fuel energy consumption,0.0209086875843181
Canada,augmented,10,Temperature std across months,0.0103581358108218
Canada,augmented,11,Number of frost days,0.0046770120238495
Russian Federation,augmented,1,Fertilizer consumption,0.1148558145204541
Russian Federation,augmented,2,CO2_emissions_lag1,0.0887926432043213
Russian Federation,augmented,3,Electric power consumption,0.0818227947521297
Russian Federation,augmented,4,Temperature std across months,0.0348511193735523
Russian Federation,augmented,5,Fossil fuel energy consumption,0.028936264608489
Russian Federation,augmented,6,Renewable energy consumption,0.0147018674490216
Russian Federation,augmented,7,Temperature annual mean,0.0120696111768317
Russian Federation,augmented,8,Population,0.0103567718361606
Russian Federation,augmented,9,Number of hot days,0.0096458170928942
Russian Federation,augmented,10,Number of frost days,0.0052505318315685
Russian Federation,augmented,11,GDP,0.0015944059095075
China,augmented,1,CO2_emissions_lag1,0.2178916096032224
China,augmented,2,GDP,0.1567002754604437
China,augmented,3,Renewable energy consumption,0.1546039871495437
China,augmented,4,Electric power consumption,0.0729407502131601
China,augmented,5,Fossil fuel energy consumption,0.0176031727579026
China,augmented,6,Fertilizer consumption,0.0086133257754167
China,augmented,7,Temperature annual mean,0.0070148368028147
China,augmented,8,Number of hot days,0.0045926051064537
China,augmented,9,Number of frost days,0.0044375632125552
China,augmented,10,Temperature std across months,0.0031074295688569
China,augmented,11,Population,0.0001217433112676
United States,augmented,1,Electric power consumption,0.2029821979972416
United States,augmented,2,Renewable energy consumption,0.104525115820361
United States,augmented,3,Fossil fuel energy consumption,0.0865663945266675
United States,augmented,4,CO2_emissions_lag1,0.0796896411524936
United States,augmented,5,Number of hot days,0.0565446484436744
United States,augmented,6,GDP,0.0343197467241185
United States,augmented,7,Fertilizer consumption,0.0280132008160897
United States,augmented,8,Number of frost days,0.0192613119498782
United States,augmented,9,Population,0.0190619500225545
United States,augmented,10,Temperature annual mean,0.0163450877623464
United States,augmented,11,Temperature std across months,0.00521138995371
India,augmented,1,Electric power consumption,0.2268174088360098
India,augmented,2,GDP,0.1258960387083281
India,augmented,3,Fossil fuel energy consumption,0.0878450405731529
India,augmented,4,Fertilizer consumption,0.0818322857292492
India,augmented,5,CO2_emissions_lag1,0.066457857171635
India,augmented,6,Renewable energy consumption,0.0405561282706764
India,augmented,7,Population,0.0308716466054103
India,augmented,8,Temperature std across months,0.0089880015154781
India,augmented,9,Temperature annual mean,0.0078142278643566
India,augmented,10,Number of hot days,0.000658240246423
India,augmented,11,Number of frost days,6.439834547068155e-06
Indonesia,augmented,1,Electric power consumption,0.2082811378818966
Indonesia,augmented,2,CO2_emissions_lag1,0.1020059389431775
Indonesia,augmented,3,Fertilizer consumption,0.0720566997136582
Indonesia,augmented,4,GDP,0.0612324867171711
Indonesia,augmented,5,Renewable energy consumption,0.0544246652334402
Indonesia,augmented,6,Population,0.0536388560260518
Indonesia,augmented,7,Temperature annual mean,0.0366824530039949
Indonesia,augmented,8,Fossil fuel energy consumption,0.0203054410764646
Indonesia,augmented,9,Number of hot days,0.0094287200803911
Indonesia,augmented,10,Temperature std across months,0.0043809597048742
Indonesia,augmented,11,Number of frost days,0.0
