country,feature_set,n_features_masked,MORF_MAE_scaled_y,LERF_MAE_scaled_y,MORF_RMSE_scaled_y,LERF_RMSE_scaled_y,MORF_masked_features,LERF_masked_features
China,augmented,0,0.01447981439760541,0.01447981439760541,0.019435695384841592,0.019435695384841592,,
China,augmented,1,0.21647834506318162,0.014588693422017485,0.23443685025458358,0.019555160130344466,CO2 emissions lag1,Population
China,augmented,2,0.37087143739857903,0.015045716462390906,0.40684408610039235,0.020507046669144255,CO2 emissions lag1; GDP,Population; Temperature std across months
China,augmented,3,0.5077884490937208,0.014767023669748826,0.5518787784322211,0.019815194750584915,CO2 emissions lag1; GDP; Renewable energy consumption,Population; Temperature std across months; Number of frost days
China,augmented,4,0.5790400462234168,0.014727153294393888,0.6329909989008811,0.021082248687327977,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption,Population; Temperature std across months; Number of frost days; Number of hot days
China,augmented,5,0.5874264308417632,0.017251829628430592,0.6399189197592118,0.024175141935436045,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption; Fossil fuel energy consumption,Population; Temperature std across months; Number of frost days; Number of hot days; Temperature annual mean
China,augmented,6,0.5790057662403485,0.021778237563819094,0.6310365100695003,0.02897577281204961,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption; Fossil fuel energy consumption; Fertilizer consumption,Population; Temperature std across months; Number of frost days; Number of hot days; Temperature annual mean; Fertilizer consumption
China,augmented,7,0.5740343715449482,0.02105597651082256,0.6249354261589237,0.029126190170273757,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption; Fossil fuel energy consumption; Fertilizer consumption; Temperature annual mean,Population; Temperature std across months; Number of frost days; Number of hot days; Temperature annual mean; Fertilizer consumption; Fossil fuel energy consumption
China,augmented,8,0.5706460510683914,0.06448024613299154,0.6207970610253941,0.07186025083340976,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption; Fossil fuel energy consumption; Fertilizer consumption; Temperature annual mean; Number of hot days,Population; Temperature std across months; Number of frost days; Number of hot days; Temperature annual mean; Fertilizer consumption; Fossil fuel energy consumption; Electric power consumption
China,augmented,9,0.5740496219024502,0.214372344254024,0.6248485935830917,0.22867185676129215,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption; Fossil fuel energy consumption; Fertilizer consumption; Temperature annual mean; Number of hot days; Number of frost days,Population; Temperature std across months; Number of frost days; Number of hot days; Temperature annual mean; Fertilizer consumption; Fossil fuel energy consumption; Electric power consumption; Renewable energy consumption
China,augmented,10,0.5725044217481916,0.3545766000135217,0.6235089106552082,0.38732857544800936,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption; Fossil fuel energy consumption; Fertilizer consumption; Temperature annual mean; Number of hot days; Number of frost days; Temperature std across months,Population; Temperature std across months; Number of frost days; Number of hot days; Temperature annual mean; Fertilizer consumption; Fossil fuel energy consumption; Electric power consumption; Renewable energy consumption; GDP
China,augmented,11,0.571940702385034,0.571940702385034,0.6228713267457537,0.6228713267457537,CO2 emissions lag1; GDP; Renewable energy consumption; Electric power consumption; Fossil fuel energy consumption; Fertilizer consumption; Temperature annual mean; Number of hot days; Number of frost days; Temperature std across months; Population,Population; Temperature std across months; Number of frost days; Number of hot days; Temperature annual mean; Fertilizer consumption; Fossil fuel energy consumption; Electric power consumption; Renewable energy consumption; GDP; CO2 emissions lag1
