country,feature_set,n_features_masked,MORF_MAE_scaled_y,LERF_MAE_scaled_y,MORF_RMSE_scaled_y,LERF_RMSE_scaled_y,MORF_masked_features,LERF_masked_features
Russian Federation,augmented,0,0.07327426215880892,0.07327426215880892,0.11130598407909811,0.11130598407909811,,
Russian Federation,augmented,1,0.1450746385843099,0.074660396349643,0.20042410097781369,0.11228304599825911,Fertilizer consumption,GDP
Russian Federation,augmented,2,0.21648427433291229,0.07733147603407121,0.31413345310896407,0.11391176393770067,Fertilizer consumption; CO2 emissions lag1,GDP; Number of frost days
Russian Federation,augmented,3,0.2660059087316007,0.08023380017873763,0.36281299809376033,0.11399918656832206,Fertilizer consumption; CO2 emissions lag1; Electric power consumption,GDP; Number of frost days; Number of hot days
Russian Federation,augmented,4,0.2664593117699809,0.08443806892803724,0.3635396331716017,0.11745290244139685,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months,GDP; Number of frost days; Number of hot days; Population
Russian Federation,augmented,5,0.25062141067595556,0.08852439375963009,0.34934320589959283,0.12077961545255132,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months; Fossil fuel energy consumption,GDP; Number of frost days; Number of hot days; Population; Temperature annual mean
Russian Federation,augmented,6,0.25242880766745845,0.09544574724919183,0.353792768318553,0.126792344231215,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months; Fossil fuel energy consumption; Renewable energy consumption,GDP; Number of frost days; Number of hot days; Population; Temperature annual mean; Renewable energy consumption
Russian Federation,augmented,7,0.24826542600449908,0.10260472378094837,0.351018873912676,0.12703586460384822,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months; Fossil fuel energy consumption; Renewable energy consumption; Temperature annual mean,GDP; Number of frost days; Number of hot days; Population; Temperature annual mean; Renewable energy consumption; Fossil fuel energy consumption
Russian Federation,augmented,8,0.24815446566050697,0.11001008886662914,0.35279968464883543,0.13547364807508427,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months; Fossil fuel energy consumption; Renewable energy consumption; Temperature annual mean; Population,GDP; Number of frost days; Number of hot days; Population; Temperature annual mean; Renewable energy consumption; Fossil fuel energy consumption; Temperature std across months
Russian Federation,augmented,9,0.2474942871682975,0.10963869850078653,0.35401212144176925,0.14149789926256848,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months; Fossil fuel energy consumption; Renewable energy consumption; Temperature annual mean; Population; Number of hot days,GDP; Number of frost days; Number of hot days; Population; Temperature annual mean; Renewable energy consumption; Fossil fuel energy consumption; Temperature std across months; Electric power consumption
Russian Federation,augmented,10,0.2464974299725316,0.16814139705625225,0.35521323826172135,0.2306757241651836,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months; Fossil fuel energy consumption; Renewable energy consumption; Temperature annual mean; Population; Number of hot days; Number of frost days,GDP; Number of frost days; Number of hot days; Population; Temperature annual mean; Renewable energy consumption; Fossil fuel energy consumption; Temperature std across months; Electric power consumption; CO2 emissions lag1
Russian Federation,augmented,11,0.2456525843558416,0.2456525843558416,0.35504518824165693,0.35504518824165693,Fertilizer consumption; CO2 emissions lag1; Electric power consumption; Temperature std across months; Fossil fuel energy consumption; Renewable energy consumption; Temperature annual mean; Population; Number of hot days; Number of frost days; GDP,GDP; Number of frost days; Number of hot days; Population; Temperature annual mean; Renewable energy consumption; Fossil fuel energy consumption; Temperature std across months; Electric power consumption; CO2 emissions lag1; Fertilizer consumption
