country,feature_set,n_features_masked,MORF_MAE_scaled_y,LERF_MAE_scaled_y,MORF_RMSE_scaled_y,LERF_RMSE_scaled_y,MORF_masked_features,LERF_masked_features
United States,augmented,0,0.0364887095655747,0.0364887095655747,0.07198316486105119,0.07198316486105119,,
United States,augmented,1,0.2163535371512933,0.04334918863950847,0.2716699655084857,0.0731765105642198,Electric power consumption,Temperature std across months
United States,augmented,2,0.27455832883113973,0.04922014307193473,0.32048311436295024,0.07786840698836872,Electric power consumption; Renewable energy consumption,Temperature std across months; Temperature annual mean
United States,augmented,3,0.3222787402642691,0.06046435478150813,0.37055205167534366,0.08637218108997607,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption,Temperature std across months; Temperature annual mean; Population
United States,augmented,4,0.398693293641558,0.06090025283035357,0.4533821944510953,0.0837682627113125,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1,Temperature std across months; Temperature annual mean; Population; Number of frost days
United States,augmented,5,0.4162967996194319,0.08271771915225089,0.47836487104263953,0.10660632108530542,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1; Number of hot days,Temperature std across months; Temperature annual mean; Population; Number of frost days; Fertilizer consumption
United States,augmented,6,0.4429933207802609,0.07436893372383666,0.5126798566390858,0.09962362172360993,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1; Number of hot days; GDP,Temperature std across months; Temperature annual mean; Population; Number of frost days; Fertilizer consumption; GDP
United States,augmented,7,0.44081290190029593,0.0901106758447544,0.5057189344672024,0.12111996196181729,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1; Number of hot days; GDP; Fertilizer consumption,Temperature std across months; Temperature annual mean; Population; Number of frost days; Fertilizer consumption; GDP; Number of hot days
United States,augmented,8,0.4493179936127005,0.12425655826169085,0.5149943595204381,0.1646474125603694,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1; Number of hot days; GDP; Fertilizer consumption; Number of frost days,Temperature std across months; Temperature annual mean; Population; Number of frost days; Fertilizer consumption; GDP; Number of hot days; CO2 emissions lag1
United States,augmented,9,0.4470701993009287,0.17753760894815487,0.5102934246386511,0.22332903020077124,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1; Number of hot days; GDP; Fertilizer consumption; Number of frost days; Population,Temperature std across months; Temperature annual mean; Population; Number of frost days; Fertilizer consumption; GDP; Number of hot days; CO2 emissions lag1; Fossil fuel energy consumption
United States,augmented,10,0.4448047235092735,0.27858148357344276,0.5057908448870436,0.3319069023124857,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1; Number of hot days; GDP; Fertilizer consumption; Number of frost days; Population; Temperature annual mean,Temperature std across months; Temperature annual mean; Population; Number of frost days; Fertilizer consumption; GDP; Number of hot days; CO2 emissions lag1; Fossil fuel energy consumption; Renewable energy consumption
United States,augmented,11,0.4430153338960381,0.4430153338960381,0.5039092769197558,0.5039092769197558,Electric power consumption; Renewable energy consumption; Fossil fuel energy consumption; CO2 emissions lag1; Number of hot days; GDP; Fertilizer consumption; Number of frost days; Population; Temperature annual mean; Temperature std across months,Temperature std across months; Temperature annual mean; Population; Number of frost days; Fertilizer consumption; GDP; Number of hot days; CO2 emissions lag1; Fossil fuel energy consumption; Renewable energy consumption; Electric power consumption
