Year,Country Name,Population,GDP,Electric power consumption,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
1990,Canada,27691138,596075591360.9873,16190.70332176309,73.49513979,22.6,50.13300456885923,-0.003833333,1.639339340167929,235.06,0.02,440.5009
1991,Canada,28037420,6.12528E+11,16207.83938037095,72.17830581741872,22.7,52.59487478182896,0.5685,1.107186035256346,230.52,0.05,434.5525
1992,Canada,28371264,594387358318.8549,16192.75757,73.28896893543254,22.4,54.79428585276014,0.042416667,1.277590665949866,243.07,0,447.3182
1993,Canada,28684764,5.79054E+11,16347.17998725735,72.46221588,22.3,57.24302421507254,0.5317500000000001,0.9370860085925944,232.54,0,446.666
1994,Canada,29000663,579944346807.2643,16413.31441284635,71.57402455358219,22.2,58.17708080268208,0.5499166666666667,1.688456418267552,223.99,0.01,463.8858
1995,Canada,29302311,605961090061.2067,16561.86776531039,72.38105328999669,22.4,62.46180977864267,0.6835,1.233648957361858,228.7,0.16,475.9427
1996,Canada,29610218,630607994132.7466,16645.16620580098,73.07829498846944,22.1,65.66964612,0.0445,1.135729464558645,237.56,0.01,489.8681
1997,Canada,29905948,6.54987E+11,16677.48502739321,74.61333822656164,21.8,66.42785778687526,0.7260833333333334,1.345205031357261,232.53,0.02,505.6429
1998,Canada,30155173,6.34E+11,16456.94421981927,75.74162992957183,22,64.58612702669755,2.361916666666667,1.130343639366169,214.26,0.03,513.8479
1999,Canada,30401286,6.78412E+11,16701.69479014802,75.54351941594366,22.2,65.60241993,1.796083333333333,1.409383994181698,228.37,0,523.4446
2000,Canada,30685730,7.44773E+11,16844.47461409587,76.47575936497252,20.3,59.68585096775768,0.95025,1.429627348,233.54,0.02,543.1076
2001,Canada,31020855,7.38982E+11,16625.78288058147,76.52726586278253,19.8,60.42089967763993,1.85775,1.356801086195025,224.52,0.07,534.3756
2002,Canada,31359199,760649334098.0055,16912.19855,75.64270699269609,20.1,64.88235873445771,0.616,1.825928759,239.17,0.16,554.066
2003,Canada,31642461,8.95541E+11,16920.87097776624,76.90034029166526,19.7,66.66769277,1.164416666666667,1.365428104926152,226.65,0.08,573.6827
2004,Canada,31938807,1026690238278.248,16823.82814110746,75.96081831613087,20.4,62.11334451425568,0.11475,1.026905961695942,234.83,0,559.7484
2005,Canada,32242732,1173108598778.676,17852.89162221117,76.21881159242184,21.6,70.63817649434571,1.689833333333333,1.067396117766138,219.03,0.1,582.3075
2006,Canada,32571193,1319264809590.973,17468.56493712097,72.90413559050603,21.5,53.96828144489983,2.488333333333333,1.562884423820975,218.11,0.02,574.6974
2007,Canada,32888886,1.46882E+12,17525.89005,73.45770128477812,21.6,78.83548503240408,0.9348333333333332,1.162417296938678,225.51,0.16,594.6475
2008,Canada,33247298,1.55299E+12,17382.25464216671,75.97045571809757,21.6,73.55244900610627,0.7055000000000001,1.187931641,226.03,0.03,575.4179
2009,Canada,33630069,1374625142157.292,16317.77799801719,76.04636978611549,22.2,71.58433545134694,0.8833333333333334,1.313052254185728,231.16,0,542.7914
2010,Canada,34005902,1617343367486.259,16236.47565649045,76.64078275312879,21.4,79.65645978719452,3.10375,1.883062891718348,216.17,0.01,562.1099
2011,Canada,34339221,1793326630174.519,16607.19094355693,76.5825123,21.5,96.89352286442268,1.464166666666667,1.256916122455627,223.32,0.02,575.7827
2012,Canada,34713395,1828366481521.595,16119.56998155899,75.37327376969446,21.8,104.2245164384292,1.926166666666667,1.107449610090179,218.86,0.02,567.184
2013,Canada,35080992,1846597421834.983,16532.14367484249,73.89261974822902,22.2,96.49842522,0.8888333333333334,1.447388731090887,227.05,0,575.2149
2014,Canada,35434066,1805749878439.941,16486.87452351644,74.30729404,22.2,102.1508203618006,0.76225,1.430747306188856,226.33,0.01,580.3198
2015,Canada,35704498,1.55651E+12,15839.62894535025,73.51674296793082,22.3,104.3571391254375,1.357916666666667,1.214884868230548,222.42,0.03,574.3793
2016,Canada,36110803,1527994741907.425,15759.60523503174,73.90555225093811,22.1,99.27329353750324,2.1845,1.534166956364267,218.7,0,574.0983
2017,Canada,36545075,1649265644244.095,15477.32491997896,73.90986308517448,22.8,101.8203536835545,1.6495,1.360452223,221.17,0.02,591.893
2018,Canada,37072620,1725329192783.024,15569.54971081084,73.77738610134782,22.3,111.8118376841561,0.6525,1.484164832489976,241.25,0.11,612.5836
2019,Canada,37618495,1743725183672.521,15204.06385210254,73.86426714582014,22.4,106.7325605464707,1.2445,1.057019591429916,223.06,0.01,609.0758
2020,Canada,38028638,1655684730000.194,14763.74199885886,73.85050544411415,23.9,129.4886884,1.347833333333333,1.293104522285633,231.3,0.05,548.4454
2021,Canada,38239864,2022378748423.234,15003.71444835682,73.83071956,23.8,126.0618416581719,2.2045,1.818645443730031,219.78,0.56,561.7344
2022,Canada,38935934,2190411080134.319,14907.07786796639,73.84849738,23.366666666666664,117.0395869,1.34575,1.094705602,219.53,0.07,575.8352
2023,Canada,40083484,2173339670064.328,14459.89575157688,73.84324079747995,23.688888888888886,132.8405546381484,2.90475,2.045778911360332,212.16,0.06,567.0969
1990,China,1135185000,361560229445.5067,510.6198549135163,75.09675247292094,33.9,220.3045234248788,0.8351666666666667,0.7525248427054677,154.15,4.7,2414.2762
1991,China,1150780000,384510452961.6725,548.9537531065886,74.45463613,33.1,237.5103103103103,0.4291666666666667,0.3877341944625925,156.77,4.49,2550.1985
1992,China,1164970000,428502354788.0691,604.6945414903388,75.03256120052593,32.8,237.6078112286412,0.1705833333333333,0.6552146541825478,162.48,4.16,2669.7881
1993,China,1178440000,446557291212.1476,662.6370455856895,76.03419109295163,31.5,206.7543281121187,0.20075,0.9229341006630248,160.61,1.94,2890.1814
1994,China,1191835000,5.6693E+11,727.1073596596844,76.56558192396297,31.1,238.9560894780447,0.8008333333333333,0.7735105939086347,154.38,5.03,3046.9201
1995,China,1204855000,738190896227.5504,770.2802411908486,77.88945087,29.4,297.5430674025757,0.5253333333333333,0.47217905,158.79,4.76,3365.775
1996,China,1217550000,868523936530.0826,821.0808591022956,78.69663462026172,30.5,301.5275810925179,0.239,0.3925648566373036,161.08,3.82,3340.2565
1997,China,1230075000,967753570434.6672,852.7406865435034,78.50886649824544,30,299.4533315692093,0.6966666666666667,0.5819377591766628,157.87,5.76,3437.3194
1998,China,1241935000,1037134141760.352,870.6172223183983,78.71810377326341,29.5,300.9925276903885,1.377166666666667,0.8925020852761197,149.5,5.26,3522.0334
1999,China,1252735000,1103843203575.635,913.9634479758288,79.20040880677239,30.3,306.1078337278094,1.159416666666667,0.8994275455656349,153.92,4.95,3447.7709
2000,China,1262645000,1223754919971.048,992.9433847201708,79.92246260601699,29.6,287.4484879032258,0.5555,0.620238865,158.11,5.4,3647.8773
2001,China,1271850000,1355036590251.524,1076.549121358651,80.83314585219725,28.4,295.4485261028693,0.9351666666666666,0.5014500362836649,153.23,5.71,3825.0579
2002,China,1280400000,1489821682050.541,1194.856294907841,81.92179284998467,27,333.5089292050844,1.152666666666667,1.180461798,151.62,5.74,4133.073
2003,China,1288400000,1683903309843.849,1379.484632101832,84.23097750252418,23.9,328.6582604,0.8994166666666668,0.6016494630504452,154.17,5.36,4773.1082
2004,China,1296075000,1984196551300.436,1585.838782477866,86.09237233291466,20.2,352.2643517379721,1.139,0.7603281089985646,153.51,5.1,5496.262
2005,China,1303720000,2317551298052.052,1782.312153,87.37099476,17.4,375.1049954969791,0.8753333333333333,0.745900388,155.03,6.08,6235.6852
2006,China,1311020000,2791498472804.329,2039.014660340803,88.28426537963281,16.4,374.7651380805872,1.3685,0.5231393217872272,150.63,6.2,6922.8741
