Country Name,Year,column,value_in_A,value_in_B
Canada,1991,GDP,612528000000.0,612527712315.615
Canada,1993,GDP,579054000000.0,579053561739.4
Canada,1999,GDP,678412000000.0,678412196271.118
Canada,2000,GDP,744773000000.0,744773415931.587
Canada,2001,GDP,738982000000.0,738981792355.372
Canada,2003,GDP,895541000000.0,895540646634.787
Canada,2007,GDP,1468820000000.0,1468820407783.2605
Canada,2008,GDP,1552990000000.0,1552989690721.6497
Canada,2015,GDP,1556510000000.0,1556508816217.14
China,1994,GDP,566930000000.0,566929539493.172
China,2007,GDP,3604060000000.0,3604055822571.6304
China,2010,GDP,6192560000000.0,6192564874453.29
India,1994,GDP,327275000000.0,327274843459.429
India,1997,GDP,415868000000.0,415867563592.82904
Indonesia,1997,GDP,215749000000.0,215748998609.635
Russian Federation,1991,GDP,517963000000.0,517962962962.96295
Russian Federation,1998,GDP,270955000000.0,270955486862.44205
United States,1990,GDP,5963140000000.0,5963144000000.0
United States,1991,GDP,6158130000000.0,6158129000000.0
United States,1992,GDP,6520330000000.0,6520327000000.0
United States,1993,GDP,6858560000000.0,6858559000000.0
United States,1994,GDP,7287240000000.0,7287236000000.0
United States,1995,GDP,7639750000000.0,7639749000000.0
United States,1996,GDP,8073120000000.0,8073122000000.0
United States,1997,GDP,8577550000000.0,8577554457000.0
United States,1998,GDP,9062820000000.0,9062818202000.0
United States,1999,GDP,9631170000000.0,9631174489000.0
United States,2000,GDP,10250900000000.0,10250947997000.0
United States,2001,GDP,10581900000000.0,10581929774000.0
United States,2002,GDP,10929100000000.0,10929112955000.0
United States,2003,GDP,11456400000000.0,11456442041000.0
United States,2004,GDP,12217200000000.0,12217193198000.0
United States,2005,GDP,13039200000000.0,13039199193000.0
United States,2006,GDP,13815600000000.0,13815586948000.0
United States,2007,GDP,14474200000000.0,14474226905000.0
United States,2008,GDP,14769900000000.0,14769857911000.0
United States,2009,GDP,14478100000000.0,14478064934000.0
United States,2010,GDP,15049000000000.0,15048964444000.0
United States,2011,GDP,15599700000000.0,15599728123000.0
United States,2012,GDP,16254000000000.0,16253972230000.0
United States,2013,GDP,16843200000000.0,16843190993000.0
United States,2014,GDP,17550700000000.0,17550680173999.998
United States,2015,GDP,18206000000000.0,18206020741000.0
United States,2016,GDP,18695100000000.0,18695110842000.0
United States,2017,GDP,19477300000000.0,19477336549000.0
United States,2018,GDP,20533100000000.0,20533057312000.0
United States,2019,GDP,21381000000000.0,21380976119000.0
United States,2020,GDP,21060500000000.0,21060473613000.0
United States,2021,GDP,23315100000000.0,23315080560000.0
United States,2022,GDP,25604800000000.0,25604848907611.0
United States,2023,GDP,27292200000000.0,27292170793214.4
Canada,1990,Temperature annual mean,-0.003833333,-0.0038333333333333
Canada,1992,Temperature annual mean,0.042416667,0.0424166666666666
India,1990,Temperature annual mean,-0.038666667,-0.0386666666666666
India,1992,Temperature annual mean,0.033166667,0.0331666666666666
India,1994,Temperature annual mean,0.072833333,0.0728333333333333
United States,1996,Temperature annual mean,-0.010083333,-0.0100833333333333
Indonesia,1998,Temperature std across months,0.384574837,0.384574837392614
Indonesia,2007,Temperature std across months,0.172497886,0.172497886460482
Indonesia,2012,Temperature std across months,0.144660594,0.144660594150584
Indonesia,2013,Temperature std across months,0.223387727,0.2233877265851659
