Country Name,Year,Population,GDP,Electric power consumption,Industry,Fossil fuel energy consumption,Renewable energy consumption,Fertilizer consumption,Temperature annual mean,Temperature std across months,Number of frost days,Number of hot days,Total CO2 emissions
Canada,1990,27691138.0,596075591360.9873,16190.703321763085,,73.495139794671,22.6,50.133004568859235,-0.0038333333333333552,1.6393393401679295,235.06,0.02,440.5009
Canada,1991,28037420.0,612527712315.615,16207.839380370948,,72.17830581741872,22.7,52.594874781828956,0.5685,1.107186035256346,230.52,0.05,434.5525
Canada,1992,28371264.0,594387358318.8549,16192.7575732967,,73.28896893543254,22.4,54.79428585276014,0.042416666666666686,1.277590665949866,243.07,,447.3182
Canada,1993,28684764.0,579053561739.4,16347.179987257347,,72.4622158778123,22.3,57.243024215072545,0.5317500000000001,0.9370860085925944,232.54,,446.666
Canada,1994,29000663.0,579944346807.2643,16413.314412846354,,71.57402455358219,22.2,58.177080802682084,0.5499166666666667,1.6884564182675517,223.99,0.01,463.8858
Canada,1995,29302311.0,605961090061.2067,16561.867765310388,,72.38105328999669,22.4,62.46180977864267,0.6835,1.2336489573618583,228.7,0.16,475.9427
Canada,1996,29610218.0,630607994132.7466,16645.166205800982,,73.07829498846944,22.1,65.6696461189995,0.044499999999999984,1.135729464558645,237.56,0.01,489.8681
Canada,1997,29905948.0,654986999855.554,16677.485027393213,27.716439058545916,74.61333822656164,21.8,66.42785778687526,0.7260833333333334,1.3452050313572608,232.53,0.02,505.6429
Canada,1998,30155173.0,634000000000.0,16456.944219819266,26.83386866466994,75.74162992957183,22.0,64.58612702669755,2.3619166666666667,1.1303436393661688,214.26,0.03,513.8479
Canada,1999,30401286.0,678412196271.118,16701.694790148023,27.871739438862527,75.54351941594366,22.2,65.6024199253531,1.7960833333333335,1.409383994181698,228.37,,523.4446
Canada,2000,30685730.0,744773415931.587,16844.474614095867,29.500037520466737,76.47575936497252,20.3,59.68585096775768,0.9502499999999999,1.4296273480059996,233.54,0.02,543.1076
Canada,2001,31020855.0,738981792355.372,16625.782880581468,28.447535461999852,76.52726586278253,19.8,60.42089967763993,1.85775,1.3568010861950253,224.52,0.07,534.3756
