country,feature_set,best_kernel,best_C,best_epsilon,best_gamma,best_degree,RMSE_absolute,RMSE_scaled_y,RMSE_relative,MAE_absolute,MAE_scaled_y,MAE_relative,MAPE,Accuracy,R_squared
Canada,baseline,rbf,100.0,0.01,auto,,62.821952896231394,0.6351671995129868,0.10813621135966883,48.18109998834392,0.4871394940491805,0.08293472857309794,0.08502106105839351,0.9149789389416065,-6.770308419966551
Canada,augmented,rbf,100.0,0.01,auto,,57.90470344097704,0.5854508914103133,0.09967208851904476,49.23712501906399,0.4978165333715016,0.08475247763466678,0.08618247935920689,0.9138175206407931,-5.601506799803946
China,baseline,linear,10.0,0.001,,,232.01483516680406,0.03988396221448683,0.019243869551628514,162.97288705866256,0.02801546920377072,0.013517363994222344,0.013470378190342257,0.9865296218096578,0.8680048606759571
China,augmented,linear,1.0,0.001,,,284.23509706015005,0.04886076298969343,0.02357514391649813,200.3352316654717,0.034438154802608666,0.016616286893870177,0.01659179970407239,0.9834082002959276,0.8019012042809835
India,baseline,linear,10.0,0.001,,,88.11626295785676,0.06697624831049721,0.03365803462611558,64.14496070040033,0.04875591260369089,0.02450164403110781,0.024079448629364487,0.9759205513706355,0.8194091707945443
India,augmented,linear,10.0,0.001,,,83.1397806730302,0.0631936762626932,0.03175715268404942,64.18668811192408,0.0487876291720263,0.024517582776292637,0.02468607151054003,0.97531392848946,0.8392313738499566
Indonesia,baseline,rbf,10.0,0.001,0.1,,53.41016589440484,0.1607926018204117,0.08337860588398498,43.22369407212112,0.13012598095812938,0.06747650550298827,0.06639447451923178,0.9336055254807683,0.4930539847510531
Indonesia,augmented,linear,1.0,0.001,,,42.136553009828276,0.12685311638217076,0.06577936967396984,33.08453475523633,0.09960179554262664,0.051648264670543426,0.04865073501402406,0.9513492649859759,0.6844763841516709
Russian Federation,baseline,rbf,10.0,0.2,0.1,,54.71955282108929,0.16468455112987576,0.02942180599544901,45.94434274159552,0.13827458506643212,0.024703519474133198,0.024639050908369698,0.9753609490916303,0.32728864349198106
Russian Federation,augmented,rbf,10.0,0.2,0.1,,53.71019056840703,0.16164676370398254,0.02887908846859632,45.887667896492204,0.13810401584674728,0.024673046339549955,0.02444014199134972,0.9755598580086503,0.35187754738386456
United States,baseline,rbf,10.0,0.1,0.1,,212.50819387252835,0.2616585949896271,0.04413981420206886,143.46204515095243,0.17664296366404408,0.02979832402043893,0.0307432531904899,0.9692567468095101,-0.05424294466428203
United States,augmented,linear,10.0,0.01,,,136.2935008091648,0.16781642758366075,0.028309354538464043,85.13289353204735,0.10482303248202776,0.017682848056405496,0.018292687945805575,0.9817073120541944,0.5663497145223129
BASELINE_AVG,baseline,,,,,,117.26516060148577,0.2215271929963142,0.0529963902698193,84.65483828534599,0.16815906759087462,0.04048868093266475,0.040724611082698606,0.9592753889173014,-0.7194657841528831
AUGMENTED_AVG,augmented,,,,,,109.56997092692622,0.19230360638875232,0.04632869963343709,79.64402349670594,0.1539285268695897,0.03664841772855475,0.03647398592083311,0.9635260140791667,-0.39294509593585963
OVERALL_AVG,all,,,,,,113.417565764206,0.20691539969253325,0.049662544951628196,82.14943089102596,0.16104379723023218,0.03856854933060975,0.03859929850176585,0.961400701498234,-0.5562054400443713
