country,feature_set,best_kernel,best_C,best_epsilon,best_gamma,best_degree,RMSE_absolute,RMSE_scaled_y,RMSE_relative,MAE_absolute,MAE_scaled_y,MAE_relative,MAPE,Accuracy,R_squared
Canada,baseline,rbf,10.0,0.05,0.05,,30.830160615738,0.31171120724597196,0.053068340140632206,24.36393909823934,0.2463338729965201,0.041937952362499004,0.04226562778050005,0.9577343722195,-0.871401469112608
Canada,augmented,rbf,10.0,0.01,0.05,,34.82531142569474,0.35210455120622486,0.05994524307793568,30.13940738438227,0.3047272824348561,0.05187933798486289,0.05212203891190202,0.947877961088098,-1.3878410231917275
China,baseline,linear,1.0,0.01,,,207.9743829492276,0.035751345060175764,0.017249896510617594,153.00766305940306,0.026302420910287085,0.01269082430094524,0.012586093087340254,0.9874139069126597,0.8939413443315493
China,augmented,linear,5.0,0.01,,,279.39901308920486,0.048029427397619756,0.023174027457670474,200.11709951676156,0.03440065731081819,0.01659819448778857,0.016475526179446025,0.983524473820554,0.80858491323712
India,baseline,linear,5.0,0.01,,,65.30278437519944,0.0496359622487853,0.024943901430924717,58.04980654761461,0.044123049788991335,0.022173459622923237,0.022049728091903753,0.9779502719080962,0.900814782566518
India,augmented,linear,5.0,0.01,,,78.90150163312158,0.05997220476744997,0.030138244461073483,59.412727651825335,0.045158991841446464,0.022694058706206284,0.022411648180060337,0.9775883518199396,0.8552048254161453
Indonesia,baseline,linear,0.5,0.01,,,47.72318600472515,0.1436718107191477,0.07450066201410037,39.75664025881505,0.11968833123438527,0.062064088060778115,0.05886629592062636,0.9411337040793737,0.5952631764702911
Indonesia,augmented,linear,1.0,0.01,,,39.71482605187264,0.1195624485486693,0.061998811905525295,32.435811298664134,0.09764879781836573,0.05063554253221179,0.04820543628698273,0.9517945637130173,0.719702522554333
Russian Federation,baseline,rbf,10.0,0.01,0.01,,57.235347664085836,0.1722561141835503,0.030774507616330462,48.43393112120855,0.1457672768677567,0.02604213030951394,0.025854448452337944,0.974145551547662,0.2640092932703946
Russian Federation,augmented,rbf,10.0,0.01,0.01,,49.74379829555935,0.14970946711834252,0.026746424403611562,39.770352111392675,0.11969327686496677,0.021383865983296575,0.02111410955925685,0.9788858904407431,0.4440681351636898
United States,baseline,rbf,5.0,0.05,auto,,201.7233289561553,0.24837933008342833,0.041899703244800704,137.8699273523455,0.16975746122982877,0.02863679214663902,0.02959416014604348,0.9704058398539566,0.05004814331246776
United States,augmented,rbf,10.0,0.01,0.05,,146.2597080841603,0.1800876899073849,0.03037942312923793,94.56905087084397,0.11644165116386311,0.019642820630290398,0.020314868088055726,0.9796851319119443,0.500611258157071
BASELINE_AVG,baseline,,,,,,101.79819842752188,0.1602342949235099,0.04040616849290101,76.91365123960435,0.1253287355046282,0.03225754113388309,0.03186939224645864,0.9681306077535413,0.3054458784731022
AUGMENTED_AVG,augmented,,,,,,104.80735976326893,0.15157763149094855,0.038730362405842406,76.074074805645,0.11967844290571938,0.03047230338744275,0.030107271200950612,0.9698927287990494,0.3233884385561053
OVERALL_AVG,all,,,,,,103.30277909539541,0.15590596320722921,0.039568265449371705,76.49386302262467,0.1225035892051738,0.03136492226066292,0.03098833172370462,0.9690116682762954,0.31441715851460367
