country,feature_set,best_n_estimators,best_max_depth,best_learning_rate,best_subsample,best_colsample_bytree,best_reg_lambda,best_reg_alpha,best_min_child_weight,best_random_state,RMSE_absolute,RMSE_scaled_y,RMSE_relative,MAE_absolute,MAE_scaled_y,MAE_relative,MAPE,Accuracy,R_squared
Canada,baseline,100.0,10.0,0.1,1.0,0.8,0.0,0.0,1.0,42.0,24.65531726707184,0.24927987908140375,0.042439505240081624,15.92500325510782,0.1610112270226612,0.027411906801787088,0.02794448846200812,0.9720555115379919,-0.19684134196575243
Canada,augmented,150.0,10.0,0.05,1.0,0.8,0.0,0.0,1.0,42.0,35.45476581962329,0.3584687084184836,0.061028730780006354,28.609644499477877,0.28926047246273356,0.04924613804398487,0.049552991543766634,0.9504470084562333,-1.4749397669591917
China,baseline,150.0,10.0,0.1,0.8,1.0,0.0,0.0,1.0,42.0,605.2964959547948,0.1040520644115965,0.050204750053321166,509.08873057000557,0.0875136957482803,0.04222504614521754,0.04128103386621499,0.958718966133785,0.10161446910877536
China,augmented,150.0,10.0,0.1,1.0,0.8,0.0,0.0,1.0,42.0,506.0040683465198,0.08698343417480153,0.041969196826802536,440.33635048167446,0.07569498024404273,0.03652255805719236,0.03591755594428646,0.9640824440557135,0.3721810122055552
India,baseline,150.0,10.0,0.1,0.8,1.0,0.0,0.0,1.0,42.0,151.0302131095151,0.11479648269296311,0.05768946584651343,130.94891816426428,0.09953290078989593,0.05001895307263703,0.04960061027841022,0.9503993897215898,0.4694684426247857
India,augmented,150.0,10.0,0.1,0.8,1.0,0.0,0.0,1.0,42.0,151.010966522289,0.11478185356365245,0.05768211416956363,130.96102253142888,0.09954210119256447,0.05002357661425668,0.0496071451212465,0.9503928548787535,0.46960365095256096
Indonesia,baseline,150.0,10.0,0.05,0.8,1.0,0.0,0.0,1.0,42.0,54.18751157639172,0.1631328198786676,0.08459212016855287,47.0306791341015,0.14158700196333457,0.0734195895914489,0.07198616077761966,0.9280138392223803,0.4781901472952841
Indonesia,augmented,150.0,10.0,0.05,0.8,1.0,0.0,0.0,1.0,42.0,54.63764752695389,0.16448796509216299,0.08529482736647355,47.77580542745274,0.1438302227694564,0.07458280619088724,0.07339269803452698,0.926607301965473,0.46948478459335474
Russian Federation,baseline,50.0,10.0,0.1,0.8,1.0,0.0,0.0,1.0,42.0,77.87514676590871,0.23437387420268008,0.04187218904191465,57.41436515259891,0.17279488713070087,0.030870762383507475,0.030263665559687656,0.9697363344403124,-0.36251545289364584
Russian Federation,augmented,50.0,10.0,0.05,1.0,1.0,0.0,0.0,1.0,42.0,93.84184395154386,0.2824274167387507,0.05045722021934026,83.75301013984667,0.2520639546480496,0.04503261976438771,0.04486740578876262,0.9551325942112374,-0.9785031496749264
United States,baseline,150.0,10.0,0.1,0.8,1.0,1.0,0.0,1.0,42.0,240.0378829400079,0.2955555456465927,0.04985797188030021,188.67443110012664,0.23231239065416723,0.03918933280490898,0.04031537376266446,0.9596846262373355,-0.3450824875924545
United States,augmented,150.0,10.0,0.1,1.0,0.8,0.0,0.0,1.0,42.0,241.10243021300062,0.29686630895729293,0.05007908767815694,182.64087906023607,0.22488335593891495,0.03793611117064563,0.03901381419816051,0.9609861858018395,-0.35703959254248163
BASELINE_AVG,baseline,,,,,,,,,,192.18042793561497,0.1935317776523173,0.05444266703844733,158.18035456270078,0.1491253505515067,0.043855931799917834,0.04356522211776751,0.9564347778822325,0.02413896276283206
AUGMENTED_AVG,augmented,,,,,,,,,,180.3419537299884,0.21733594782419072,0.057751862840057205,152.34611869001944,0.1808791812092936,0.04889063497355909,0.048725268438458286,0.9512747315615417,-0.24986884357085482
OVERALL_AVG,all,,,,,,,,,,186.26119083280173,0.205433862738254,0.05609726493925227,155.26323662636014,0.16500226588040015,0.04637328338673846,0.0461452452781129,0.9538547547218871,-0.11286494040401136
