country,feature_set,p,d,q,trend,seasonal_order,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,0,1,0,c,"(0, 0, 0, 0)",True,,5,5,0,0.2201137162420122,0.2201137162420122,-2.878360580348032,0.17315949268294922,0.17315949268294922,-2.481115144888025,4.1828430190285335,-3.182843019028534,-10.090126448339984
Canada,augmented,1,1,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.22078720476097774,0.22078720476097774,-2.893471839282135,0.18466560628953604,0.18466560628953604,-2.471163433473176,4.188854750131032,-3.188854750131032,-12.225688328585314
Canada,augmented,0,1,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.23161447848348563,0.23161447848348563,-2.8222160411010973,0.18493739872298573,0.18493739872298573,-2.4358556924598065,4.228992768062627,-3.228992768062627,-7.2247672548431225
Canada,augmented,1,1,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.22034641683987996,0.22034641683987996,-2.883863813106024,0.18753955206281797,0.18753955206281797,-2.457059101948099,4.212615064301765,-3.2126150643017652,-9.856044360925278
Canada,augmented,0,1,1,n,"(0, 0, 0, 0)",True,,5,5,0,0.23072648375038307,0.23072648375038307,-2.8208778631181155,0.1927980527230996,0.1927980527230996,-2.4138196947955626,4.245031228745633,-3.2450312287456335,-7.527870634836114
Canada,augmented,1,1,3,c,"(0, 0, 0, 0)",True,,5,5,0,0.22972131767751897,0.22972131767751897,-2.821615634800852,0.1928112564636898,0.1928112564636898,-2.416590391178117,4.240261619945564,-3.2402616199455636,-7.225511315521783
Canada,augmented,0,1,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.24757881135040014,0.24757881135040014,-2.7806531134580164,0.20146235423719183,0.20146235423719183,-2.398138254228969,4.270912011562707,-3.2709120115627073,-8.301994079645068
Canada,augmented,2,1,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.24537057255937061,0.24537057255937061,-2.79968080832339,0.20169909329869054,0.20169909329869054,-2.4018415007908036,4.2434033223307335,-3.243403322330734,-9.37855389964522
Canada,augmented,0,1,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.2539425827865972,0.2539425827865972,-2.7664099135090434,0.20252599558450984,0.20252599558450984,-2.397782727379769,4.254006797975458,-3.2540067979754577,-8.641086581378627
Canada,augmented,2,1,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.2480365814772893,0.2480365814772893,-2.7919508353076625,0.2135294710993089,0.2135294710993089,-2.3820018979458895,4.263141995592718,-3.2631419955927177,-9.872279588049349
Canada,augmented,1,1,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.2657747961317362,0.2657747961317362,-2.7533430134932355,0.21561671225322368,0.21561671225322368,-2.377645760805304,4.293990730766212,-3.293990730766212,-11.412528075027762
Canada,augmented,0,1,1,c,"(0, 0, 0, 0)",True,,5,5,0,0.2644529835642331,0.2644529835642331,-2.7568475252470033,0.21574685706779456,0.21574685706779456,-2.369388774429604,4.304119898989182,-3.304119898989182,-11.22332959504919
Canada,augmented,3,1,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.2536580556311213,0.2536580556311213,-2.7592084061542965,0.21637017259520935,0.21637017259520935,-2.3556352931260442,4.287015088670348,-3.2870150886703478,-7.5363741172149545
Canada,augmented,1,1,2,c,"(0, 0, 0, 0)",True,,5,5,0,0.26302379155351624,0.26302379155351624,-2.7641829035017174,0.2164804145229371,0.2164804145229371,-2.3773850749613703,4.275411313797349,-3.275411313797349,-12.048838806058285
Canada,augmented,2,1,2,n,"(0, 0, 0, 0)",True,,5,5,0,0.25782282396637946,0.25782282396637946,-2.7788176420791313,0.22086534068826094,0.22086534068826094,-2.3746911675309645,4.26811639351613,-3.26811639351613,-12.211170036969504
Canada,augmented,1,1,0,n,"(0, 0, 0, 0)",True,,5,5,0,0.2655213963987306,0.2655213963987306,-2.7627142220254566,0.22198218906185527,0.22198218906185527,-2.3682305023701984,4.286248075439031,-3.2862480754390306,-12.355755193066452
