country,feature_set,n_steps,n_blocks,function,solver,alpha,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,1,5,hyperbolic,lsqr,0.01,True,,5,5,0,0.17263849631185782,0.17263849631185782,-1.0218972307152656,0.134675142540387,0.134675142540387,-1.0324608236051562,4.349999300616458,-3.349999300616458,-4.139457934309361
Canada,augmented,1,5,hyperbolic,cholesky,0.01,True,,5,5,0,0.17263849631185474,0.17263849631185474,-1.021897230715274,0.13467514254038923,0.13467514254038923,-1.0324608236051538,4.349999300616462,-3.3499993006164623,-4.139457934309647
Canada,augmented,1,5,hyperbolic,svd,0.01,True,,5,5,0,0.17263849631185507,0.17263849631185507,-1.0218972307152725,0.13467514254038954,0.13467514254038954,-1.032460823605153,4.349999300616462,-3.3499993006164623,-4.139457934309489
Canada,augmented,1,5,hyperbolic,lsqr,0.1,True,,5,5,0,0.16421529105168378,0.16421529105168378,-1.0394010366700714,0.1396400748885126,0.1396400748885126,-1.0220610837659634,4.324505418965316,-3.324505418965316,-3.9869464236858136
Canada,augmented,1,5,hyperbolic,svd,0.1,True,,5,5,0,0.16421530723476427,0.16421530723476427,-1.0394010078564553,0.13964011861698306,0.13964011861698306,-1.0220610064557305,4.324505503178569,-3.324505503178569,-3.9869490087848063
Canada,augmented,1,5,hyperbolic,cholesky,0.1,True,,5,5,0,0.1642153072347645,0.1642153072347645,-1.0394010078564548,0.13964011861698328,0.13964011861698328,-1.02206100645573,4.324505503178569,-3.324505503178569,-3.986949008784807
Canada,augmented,1,4,hyperbolic,lsqr,0.1,True,,5,5,0,0.1843529934534302,0.1843529934534302,-1.211850318982901,0.1527665194455616,0.1527665194455616,-1.1674115542268768,5.178332458685018,-4.178332458685018,-6.212939853827743
Canada,augmented,1,4,hyperbolic,cholesky,0.1,True,,5,5,0,0.1843540216087697,0.1843540216087697,-1.211848298845622,0.15277291731003179,0.15277291731003179,-1.167399457148147,5.178344840160449,-4.178344840160449,-6.213440055025795
Canada,augmented,1,4,hyperbolic,svd,0.1,True,,5,5,0,0.18435402160876974,0.18435402160876974,-1.2118482988456214,0.15277291731003184,0.15277291731003184,-1.1673994571481465,5.178344840160444,-4.178344840160444,-6.213440055025799
Canada,augmented,1,5,hyperbolic,cholesky,0.001,True,,5,5,0,0.1797857970972016,0.1797857970972016,-1.008008996189689,0.153988857439225,0.153988857439225,-0.99008241381794,4.365124766688813,-3.3651247666888127,-3.4005158655004744
Canada,augmented,1,5,hyperbolic,svd,0.001,True,,5,5,0,0.1797857970972044,0.1797857970972044,-1.0080089961896859,0.15398885743922594,0.15398885743922594,-0.9900824138179413,4.365124766688813,-3.3651247666888127,-3.4005158655014034
Canada,augmented,1,5,hyperbolic,lsqr,0.001,True,,5,5,0,0.17978579709739922,0.17978579709739922,-1.0080089961893175,0.1539888574394585,0.1539888574394585,-0.9900824138175016,4.365124766689268,-3.365124766689268,-3.400515865537848
Canada,augmented,1,5,hyperbolic,cholesky,0.0,True,,5,5,0,0.19512843733282112,0.19512843733282112,-0.9731385622332072,0.17070171373228407,0.17070171373228407,-0.9513878191217524,4.407211982539306,-3.407211982539306,-5.48293917967492
