country,feature_set,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,random_state,valid,reason,n_splits,n_success_folds,n_failed_folds,cv_RMSE_absolute_mean,cv_RMSE_scaled_y_mean,cv_RMSE_relative_mean,cv_MAE_absolute_mean,cv_MAE_scaled_y_mean,cv_MAE_relative_mean,cv_MAPE_mean,cv_Accuracy_mean,cv_R_squared_mean
Canada,augmented,150,10,0.05,1.0,0.8,0.0,0.0,1,42,True,,5,5,0,0.13247786429462094,0.13247786429462094,-1.5546535704593132,0.11919923253150322,0.11919923253150322,-1.5414310232914978,5.410600358607912,-4.410600358607912,-1.2651199910908677
Canada,augmented,100,10,0.05,1.0,0.8,0.0,0.0,1,42,True,,5,5,0,0.13358957038202945,0.13358957038202945,-1.5662811594835153,0.12008761796893216,0.12008761796893216,-1.5541060228377295,5.476200603731082,-4.476200603731082,-1.3402551269515426
Canada,augmented,150,10,0.1,1.0,1.0,1.0,0.0,1,42,True,,5,5,0,0.13282690111529932,0.13282690111529932,-1.134619630794187,0.12186715323496684,0.12186715323496684,-1.0781367341734476,4.330816779743911,-3.3308167797439103,-3.047223984502856
Canada,augmented,100,10,0.1,1.0,1.0,1.0,0.0,1,42,True,,5,5,0,0.13327835317515724,0.13327835317515724,-1.1448300825385762,0.12212226906577199,0.12212226906577199,-1.0893524593966597,4.383956351443078,-3.3839563514430777,-3.0880598042221186
Canada,augmented,150,10,0.05,1.0,1.0,0.0,0.0,1,42,True,,5,5,0,0.13209704274551753,0.13209704274551753,-1.1279999046720424,0.12221777866530323,0.12221777866530323,-1.0704900434020155,4.323326772250065,-3.323326772250065,-1.1109294054051695
Canada,augmented,150,10,0.1,1.0,1.0,0.0,0.0,1,42,True,,5,5,0,0.13209680995649953,0.13209680995649953,-1.1277178146555698,0.12221902647457177,0.12221902647457177,-1.070212620500478,4.322740552249508,-3.3227405522495084,-1.1113452770498924
Canada,augmented,100,10,0.1,1.0,1.0,0.0,0.0,1,42,True,,5,5,0,0.1320968123561598,0.1320968123561598,-1.1277179300209512,0.12221902819751854,0.12221902819751854,-1.070212703332374,4.322740560970797,-3.3227405609707974,-1.1113453115396417
Canada,augmented,100,10,0.1,1.0,0.8,0.0,0.0,1,42,True,,5,5,0,0.13580799974056032,0.13580799974056032,-1.65757094654675,0.12239919705445498,0.12239919705445498,-1.6329134508836531,5.592296957796472,-4.592296957796472,-1.2310530211756434
Canada,augmented,150,10,0.1,1.0,0.8,0.0,0.0,1,42,True,,5,5,0,0.13580799974056032,0.13580799974056032,-1.65757094654675,0.12239919705445498,0.12239919705445498,-1.6329134508836531,5.592296957796472,-4.592296957796472,-1.2310530211756434
Canada,augmented,50,10,0.1,1.0,1.0,0.0,0.0,1,42,True,,5,5,0,0.13275168552668692,0.13275168552668692,-1.1389785467990567,0.12257078242424035,0.12257078242424035,-1.082640453285514,4.384381431501079,-3.3843814315010787,-1.1511795414510324
Canada,augmented,100,10,0.05,1.0,1.0,0.0,0.0,1,42,True,,5,5,0,0.13287763956576965,0.13287763956576965,-1.1416700033334364,0.12266540078706245,0.12266540078706245,-1.0855081652287069,4.397598937521141,-3.397598937521141,-1.1588333211143784
Canada,augmented,150,10,0.05,1.0,1.0,1.0,0.0,1,42,True,,5,5,0,0.13464768958902326,0.13464768958902326,-1.2032953935337847,0.12310038268352001,0.12310038268352001,-1.1521801242911154,4.64744920176666,-3.6474492017666607,-3.234645936285893
